Place,Name Variant,Diocese,Institution,Office,Column_num,Reference
Cropelen,,,,,,Kröpelin
Cruczeborchis,,,,,,Creuzburg
Cruczenacum,,,,,,Kreuznach
"Cruszwicien., Cruschuicen.",,,,,,Kruschwitz
Crutzlingen,,,,,,Konstanz
Cuba,,,,,,Caub
Culm(u)ach,,,,,,Kulmbach
Curien.,,,,,,Chur
Curten,,,,,,Kürten
Curzelouien.,,,,,,Kurzelow
Cycen.,,,,,,Zeitz
Cymbria,,,,,,Cembra
Czabelstein,,,,,,Zabelstein
Czaken,,,,,,(Kl.) Zacken
Czarnotzin,,,,,,Schwarzhof
Czegenhals,,,,,,Ziegenhals
Czel,,,,,,Ried
Czelking,,,,,,Zelking
Czeolfinghen,,,,,,Zeholfing
Czicen.,,,,,,Zeitz
Czolrn,,,,,,Zollern
Czwentendorff,,,,,,Zwentendorf
Czwetel,,,,,,Zwettl
Czwickow,,,,,,Zwickau
Czwifaltingen,,,,,,Zwiefalten
Dammis,,,,,,"Altdamm, Damm"
Danczk,,,,,,Danzig
Dankirchen,,,,,,Thannkirchen
Dauentrien.,,,,,,Deventer
Deck,,,,,,Teck
Dellingen,,,,,,Dillingen
Derdessen,m,,,,,Dardesheim
Diczisow,,,,,,Deizisau
Diembach,,,,,,Dimbach
Dobberlawen.,,,,,,Dobrilugk
Dognen.,,,,,,Dagne
Donyn,,,,,,Dohna
Doueren,,,,,,Doeeren
Dreyse,,,,,,Drais
Drybilshem,,,,,,Büdisheim
Duersteden,,,,,,Duurstede
Dursten,,,,,,Dorsten
Durstede,,,,,,Duurstede
Duuelandia,,,,,,Duiveland
Dyckennighen,,,,,,Dikninge
"Dyetkerken, Dytkirchen",,,,,,Dietkirchen
Dypburg,,,,,,Dieburg
Dyttramczell,,,,,,Dietramszell
Ebettingen,,,,,,Ewattingen
Ebronen.,,,,,,Hebron
Eckirchen,,,,,,Ehekirchen
Eduen.,,,,,,Autun
Egninen,,,,,,Ägina
Ehenheim,,,,,,Nieder-ehnheim
Ekk,,,,,,Eck
Eknach,,,,,,Ecknach
Electen.,,,,,,Alet
Embricen.,,,,,,Emmerich
Emmeracen.,,,,,,Embrach
Empre,,,,,,Hentern
Engenpach,,,,,,Altdorf
Enus,,,,,,Inn
Enybergs,,,,,,Enneberg
Enzersdorff,,,,,,Groß-enzersdorff
Episcopaliscella,,,,,,Bischofszell
Epternac.,,,,,,Echternach
Erclens,,,,,,Erkelenz
Ergoye,,,,,,Aargau
Erich,,,,,,Groß-erich
Escow,,,,,,Eschau
Eycbergh,,,,,,Eibergen
Eyfflie,,,,,,Münstereifel
Eysteten.,,,,,,Eichstädt
Faventin.,,,,,,Faenza
Feitzhochheim,,,,,,Veitshöchheim
Feltren.,,,,,,Belluno
Fewstritz,,,,,,Feistritz
Fischlingen,,,,,,Klein-fischlingen
Fonssalutis,,,,,,Heilsbronn
Forstenwalde,,,,,,Fürstenwalde
Francia,,,,,,Frankreich
Frankenuorde,,,,,,Frankfurt a. O
Frequentin.,,,,,,Frigento
Frescha,,,,,,Friesland
Freynstät,,,,,,Freistadt
Fribergh,,,,,,Freiberg
"Friborch, Friburgh, Friburgum",,,,,,Freiburg i. Br
Frisacen.,,,,,,Friesach
Frisenhoven,,,,,,Friesenhofen
Frisia,,,,,,Friesland
Fryburg,,,,,,Freiburg i. Br
Gabene,,,,,,Gavnö
Gallepaltental,,,,,,Paltental
Gamundien.,,,,,,Gmünd
Ganden.,,,,,,Gmünd
Gassaw,,,,,,Gossau
Gaudiacum,,,,,,Jouy sur Morin
Gawbatsch,,,,,,Krut
Geispisheim,,,,,,Gabsheim
Gensen,,,,,,Jeinsen
Gerwelingherode,,,,,,Gerblingerode
Geych,,,,,,Geich
Geynsen,,,,,,Jeinsen
Geyrn,,,,,,Geiern
Geysmar,,,,,,Hofgeismar
Ghan,,,,,,Gand
Gheeruliet,,,,,,Geervliet
Gheismaer,,,,,,"Geismar, Hofgeismar"
Gherenrode,,,,,,Gernrode
Gheruliet,,,,,,Geervliet
Gheske,,,,,,Geseke
Gheueldehusen,,,,,,Gieboldehausen
Gheyspolshem,,,,,,Geispolshem
Ghisenkirchen,,,,,,Giesenkirchen
Ghrebukesrode,,,,,,Gräfenroda
Gila,,,,,,Gail
Gisenheim,,,,,,Giesenain
Glossenberg,,,,,,Neuenstadt
Goele,,,,,,Geul
Graedwein,,,,,,Gratwein
Grafentraubach,,,,,,Traubach
Gratianopolis,,,,,,Grenoble
Gremthartsteten,,,,,,Grammastetten
Grenzsen,,,,,,Grzendzin
Grifenstein,,,,,,Greiffenstein
Gripeswoldis,,,,,,Greifswald
Grissaw,,,,,,Grüssau
Gruden,,,,,,Groden
"Grussen., Gruszen.",,,,,,Greussen
Gudesberg,,,,,,Godesberg
Gugenheim,,,,,,Jugenheim
Gyegoizewo,,,,,,Grzegorzewo
Gymunghen,,,,,,Gimingen
Haenau,,,,,,Hanau
Haesbeen,,,,,,Heesbeen
Hag,,,,,,Haag
Hagha,,,,,,Haag
Haimertingen,,,,,,Heimertingen
Hadelene,,,,,,Hadeln
Halle,,,,,,Schwäbisch-hall
Halsprunn,,,,,,Heilsbronn
Hannonia,,,,,,Hennegau
Harbeyßen,,,,,,Herbitzheim
Harggerswiler,,,,,,Hergensweiler
Hartkilich,,,,,,St. Georgen
Hassia,,,,,,Hessen
Hasuan.,,,,,,Hasbengau
Haug,,,,,,Würzburg
de Hayaualteri,,,,,,Altenmünster
Haydeck,,,,,,Heideck
Haydolffing,,,,,,Haidelfing
Hazelow,,,,,,Haselau
Hedwangen,,,,,,Herdwangen
Heelsprunna,,,,,,Heilbronn
Heflein,,,,,,Höflein
Heilgarten,,,,,,Hallgarten
Heilighestede,,,,,,Amsterdam
Henrichow,,,,,,Heinrichau
Herberchtingen,,,,,,Herbrechtingen
Herbipolen.,,,,,,Würzburg
Heremitarum,,,,,,Einsiedeln
Hergesheim,,,,,,Herchesheim
Herisien.,,,,,,Neuen-heerse
Heroldisdorf,,,,,,Herischdorf
Hersfelde,,,,,,Harsefeld
Herswideshusen,,,,,,Hardehausen
Hervolczheim,,,,,,Herbolzheim
Hesterkirch,,,,,,Heisterkirch
Heylprun,,,,,,Heilbronn
Hilbershem,,,,,,Waldhilbersheim
Hilda,,,,,,Eldena
Hilghendal,,,,,,Heilgenthal
Holztraubach,,,,,,Traubach
Homsber,,,,,,Ansperg
Houhem,,,,,,Hofheim
Hoyen.,,,,,,Huy
Hugard,,,,,,Hougaerde
Hungaria,,,,,,Ungarn
Huxarien.,,,,,,Höxter
Ibbs,,,,,,Ybbs
Ibsa,,,,,,Ips
Jegheleue,,,,,,Ingeleben
Jeropolitan.,,,,,,Hieropolis
Jhene,,,,,,Jena
Imbr(i)ac.,,,,,,Embrach
Inden.,,,,,,Cornelimünster
Indicen.,,,,,,Innichen
Inferioraltha,,,,,,Niederaltaich
Inferior Bauaria,,,,,,Bayern
Inferior Ingelnheim,,,,,,Nieder-ingelheim
Inferior-steinach,,,,,,(Unter-)steinach
Inferior Trebere,,,,,,Nieder-trebra
Ingelnheim,,,,,,Ober- u. Nieder-i
Insa,,,,,,Ybbs
Insula b. Marie,,,,,,Marienwaard
Inticen.,,,,,,Innichen
Iselsteyn,,,,,,Isselstein
Isenac.,,,,,,Eisenach
Iserleue,,,,,,Eisleben
Isleyben,,,,,,Eisleben
Kalyc,,,,,,Kaliess
Kamenecen.,,,,,,Caminiecz
Karlow,,,,,,Carlow
Kaspaldshouen,,,,,,Gaspoltzhoven
Kelcze,,,,,,Kielce
Kempnicz,,,,,,Chemnitz
Kenle,,,,,,Kehl
Kiritz,,,,,,Kyritz
Kothebus,,,,,,Cottbus
Kreitz,,,,,,Gross-kreutz
Kreuzlingen,,,,,,Konstanz
Krewelsheim,,,,,,Crailsheim
Krolip,,,,,,Crölpa
Kungsdorf,,,,,,Königsdorf
Kungsuelt,,,,,,Königsfelden
Kungzbrunnen,,,,,,Königsbrunn
Kunigsperg,,,,,,Königsberg
Kyppenhusen,,,,,,Kippenhausen
Lacus s. Marie,,,,,,Filehne
Lafferde,,,,,,Klein-lafferde
Lakchirchen,,,,,,Laakirchen
Lancicia,,,,,,Lentschitz
Langherke,,,,,,Lengerich
Lanstein superior,,,,,,Oberlahnstein
Laudunen.,,,,,,Laon
Ledro,,,,,,Valle di Ledro
Legnicen.,,,,,,Liegnitz
Leodien.,,,,,,"Lüttich, Pont-à-mousson"
Leodri,,,,,,Valle di Ledro
Leuczenprunn,,,,,,Leuzenbronn
Lewben,,,,,,Leoben
Lewbënsdorff,,,,,,Leobendorf
Lewbs,,,,,,Leubs
Lewenberg,,,,,,Löwenberg
Lewkental,,,,,,Leukenthal
Lexouien.,,,,,,Lisieux
Liden.,,,,,,Lydda
Liechtenberd,,,,,,Lichtenwerden
Liiche,,,,,,Lich
Linach,,,,,,Leinach
"Lipczen., Lipczk",,,,,,Leipzig
Lisko,,,,,,Lieskow
Lo,,,,,,Lohe
Longawola,,,,,,Wola
Lopham,,,,,,Laupheim
Loss,,,,,,Grath
Lowfen,,,,,,Laufen
Lubens,,,,,,Leubus
Lubicen.,,,,,,Lübeck
Lubucen.,,,,,,Lebus
Lucenburg,,,,,,Luxemburg
Lucidauallis,,,,,,Lichtenthal
Luczenbrunn,,,,,,Leuzenbronn
Ludenbac,,,,,,Lautenbach
Lugdunen.,,,,,,Lyon
Luterbach,,,,,,Lauterbach
Lutkirch,,,,,,Leutkirch
Lutrin,,,,,,Lautern
Lyncz,,,,,,Linz
Maersen,,,,,,Maarsen
Magnaalsleuen,,,,,,Gross-alsleben
Magnamana,,,,,,Gross-mohnau
Magna Radomirz,,,,,,Radomierz
Magnasalina,,,,,,Gross-salze
Maguntin.,,,,,,Mainz
Maiorberingen,,,,,,Gross-behringen
Maior Enczesdorff,,,,,,Gross-enzersdorf
Maior Jene,,,,,,Jena
Maiormanre,,,,,,Grossenmohnra
Maior Somerde,,,,,,Sömmerda
Maiortenstede,,,,,,Tennstedt
Maior Wyler,Viller,,,,,Weiler
Mannsee,,,,,,Mondsee
Manre,,,,,,Grossenmohnra
Marcedum,,,,,,Merzig a. S
Marcgrussen,,,,,,Greussen
Marchdorf,,,,,,Markdorf
Marclo,,,,,,Markelo
St. Maria in Au,,,,,,Gries
Marienwerder,,,,,,Pomesanien
Marpach,,,,,,Marbach
Maternbach,,,,,,Katernbach
Matra,,,,,,Moder
Mawrkirchen,,,,,,Buchkirchen
Mayder,,,,,,Meder
Medeziumcorone,,,,,,Kronmetz
Medialu,,,,,,Mittelkirchen
Mediolanum,,,,,,Mailand
Medling,,,,,,Mödling
Mehringen,,,,,,Möhringen
Merczenich,,,,,,Merzenich
Mergenstat,,,,,,Marienstadt
Mergenstern,,,,,,Marienstern
Merighen,,,,,,Möhringen
Mersen,,,,,,Meersen
Messenberg,,,,,,Massenberg
Meysseldeck,,,,,,Meiselding
Miltenberg,,,,,,Bürgstadt
Minchroth,,,,,,Roth
Minorfreschelingen,,,,,,Klein-fischlingen
Minor Lafferde,,,,,,Klein-lafferde
Mintzenberg,,,,,,Drais
Misnen.,,,,,,Meissen
Moguntin.,,,,,,Mainz
Mohnaü,,,,,,Gross-mohnau
Mohnra,,,,,,Grossen Mohnra
Molhusen,,,,,,Mühlhausen
Monacen.,,,,,,München
Monasterien.,,,,,,Münster
Monasteriumclericorum,,,,,,Pfaffmünster
Monasteriumeyfflie,,,,,,Münstereiffel
Monasteriummeynfelt,,,,,,Münstermaifeld
Monsboldensberg,,,,,,Boltesberg
Mons Jouis,,,,,,St. Bernhard
Monsmadran.,,,,,,Madron
Monsanctipetri,,,,,,Petersberg
Monsterkirken,,,,,,Münsterkirchen
Monten.,,,,,,Berg
Montisburgum,,,,,,Marienberg
Morinen.,,,,,,Terouane
Morschheim,,,,,,Sion
Mosacen.,,,,,,Moos
Mospurg,,,,,,Moosburg
Moxstad,,,,,,Mockstadt
Mulbron,,,,,,Maulbronn
Mulsenheim,,,,,,Mölsenheim
Munasterien.,,,,,,Münster
Münchroet,,,,,,Roth
Munster,,,,,,Münchsmünster
Munuchwiler,,,,,,Münchweiler
Münzenberg,,,,,,Drais
Murse,,,,,,Moers
Musberg,,,,,,Ansperg
Musdorff,,,,,,Mausdorf
Naturen.,,,,,,Athyra
Nemzin,,,,,,Nimbschen
Neuburg,,,,,,Klosterneuburg
Neumburgh,,,,,,Neuenburg
Newhus,,,,,,Neuhaus
"Newnburg, Newnburgaclustralis",,,,,,Klosterneuburg
Newnkirchen,,,,,,Neunkirchen
Nidrosien.,,,,,,Drontheim
"Niderratenaw, Nidderraitenow",,,,,,Unter-reitnau
Nieder-bayern,,,,,,Bayern
Nieuwe-zijdskapel,,,,,,Amsterdam
Nigenstat,,,,,,Neustadt
Nigrasilua,,,,,,St. Blasien
Nortich,,,,,,Noorddyk
Noua Berlin,,,,,,Berlinichen
Nouacella,,,,,,Neustift
Nouacuiitas,,,,,,Neustadt
Noualandesbergh,,,,,,Landsberg
Nouatera,,,,,,Bislich
Noua Treptow,,,,,,Treptow
Nouauilla,,,,,,Neuenstadt
Nouillaren.,,,,,,Neuweiler
Nouimagen.,,,,,,Neumagen
Nouiomen.,,,,,,Noyon
Nouumbrandeborgh,,,,,,Neubrandenburg
Nouumcastrum,,,,,,Neuenburg
Nouumstargard,,,,,,Stargard
Nuemburg.,,,,,,"Naumburg, Neuburg"
Nuendorf,,,,,,Neuendorf
Nuhusen,,,,,,Worms
Nunkirchen,,,,,,Neunkirchen
Nunnenberd,,,,,,Fraunchiemsee
Nussien,,,,,,Neuss
Nuwekirche,,,,,,Ottenheim
Nydenburg,,,,,,Passau
Nyenkerken,,,,,,Neukirchen
Nyewerue,,,,,,Nienwerve
Nygenstad,,,,,,Neustadt
Nympcz,,,,,,Nimptsch
Nyssa,,,,,,Neisse
Obernburg,,,,,,Oberburg
Odenstarp,,,,,,Oestorf
Oestbrock,,,,,,Utrecht
Oestworne,,,,,,Oostvoorne
Ohalming,,,,,,Aholming
"Olsna, Olsnicen.",,,,,,Oels
Omniumsanctorum,,,,,,Allerheiligen
"Omsberg, Onsperg",,,,,,Ansperg
Onelspacen.,,,,,,Ansbach
Oostbroek,,,,,,Utrecht
Oringew,,,,,,Öhringen
Ornstorff,,,,,,Olnstorff
"Othmincow, Othmuchouien., Othomochaw",,,,,,Ottmachau
Ottonien.,,,,,,Odense
Oudeghiessen,,,,,,Giessen-oudkerk
Ouderschiede,,,,,,Overschie
Ouderulissinghen,,,,,,Vlissingen
"Oudwika, Oudwijk",,,,,,Utrecht
Oue,,,,,,Aue
"Ousdorff, Oustorff",,,,,,Audorf
Ouerwinterthure,,,,,,Oberwinterthur
Ow,,,,,,Au
Oytin,,,,,,Eutin
Parchentin,,,,,,Parkentin
Parleberghe,,,,,,Perleberg
Parreya,,,,,,Parey
"Perchen, Perheim",,,,,,Bergheim
Perchim.,,,,,,Parchim
Perdingesleibin,,,,,,Pferdingsleben
Pereya,,,,,,Parey
Periber,,,,,,Piber
Pertersgaden,,,,,,Berchtesgaden
Pesznig,,,,,,Pössneck
Petershausen,,,,,,Konstanz
S. Petri,,,,,,S. Pietro
Peylenstayn,,,,,,Peilenstein
Peyne,,,,,,Peine
Peyerreut,,,,,,Bayreuth
Phaffenhouen,,,,,,Pfaffenhofen
Phaffenslag,,,,,,Pfaffenschlag
Pharkirchen,,,,,,Pfarrkirchen
Pheffing,,,,,,Pfäffing
Phiiin,,,,,,Pfin
Pingwen.,,,,,,Bingen
Pirimons,,,,,,Pyhrn
Piseri,,,,,,Peisern
Placentin.,,,,,,Piacenza
Plaga,,,,,,Schlägl
Porrentruy,Ponrramtin,,,,,Miserach
Porta,,,,,,Pforta
Portaceli,,,,,,Himmelsforte
Posow,,,,,,Bosau
Potzkow,,,,,,Patschkau
Pourramtrum,,,,,,Miserach
Poznan.,,,,,,Posen
Pramberg,,,,,,Bramberg
Prenestin.,,,,,,Palestrina
Pretz,,,,,,Preetz
Prigantina silua,,,,,,Schwarzenberg
Prugk,,,,,,Bruck
Prumheim,,,,,,Praunheim
Pruntrut,,,,,,Miseras
Prusia,,,,,,Preussen
Przemanth,,,,,,Priment
Puchel,,,,,,Büchel
Puch,,,,,,Buch
Puchkirchen,,,,,,Buchkirchen
Pucinaw,,,,,,Pinkau
Purgstall,,,,,,Burgstall
Pusendorff,,,,,,Busendorf
Pyber,,,,,,Piber
Pyzdry,,,,,,Peisern
Queron.,,,,,,Curland
Quinqueeclesien.,,,,,,Fünfkirchen
Raczach,,,,,,St. Ägyden b. Steinbrück
Randena,,,,,,S. Vigilio
Rangleibin,,,,,,Ringleben
Rassacen.,,,,,,Rosazzo
Ratisponen.,,,,,,Regensburg
Regalislutter,,,,,,Königslutter
Reinsdorp,,,,,,Rheindorf
Reitnau,,,,,,Unter-reitnau
Rellinchusen,,,,,,Recklinghausen
Remen.,,,,,,Reims
Reminghem,,,,,,Egmond
Rempsdorp,,,,,,Rengsdorf
Rendena-tal,,,,,,S. Vigilio
Rene,,,,,,Rheine
Renus,,,,,,Rhein
Ret,,,,,,Ried
Reussingen,,,,,,Reissing
Reyferscheit,,,,,,Reifferscheid
"Reynborch, Reynsburch",,,,,,Rijnsburg
Reynebeke,,,,,,Reinbeck
Reyneulde,,,,,,Reinfeld
Reyssen.,,,,,,Rees
Richenbach,,,,,,Reichenbach
Rinhem,,,,,,Rheinheim
Rizessotharzow,,,,,,Rzerzotarzow
Rochatz,,,,,,Rohitsch
Roden.,,,,,,Odenrode
Rodolfftorff,,,,,,Ruhldorf
Rodus,,,,,,Rhodos
de Romaricomonte,,,,,,Remiremont
Romsow,,,,,,Ramsau
"Rorbach, Rorenbach",,,,,,Rohrbach
Rordorf,,,,,,Rohrdorf
Roskild.,,,,,,Roeskilde
"Rosseueld, Rosuelde",,,,,,Harsefeld
Rubiacum,,,,,,Ruffach
Ruboch,,,,,,Raubach
Rudlingna,,,,,,Reutlingen
Ruiti,,,,,,Rüti
Runa,,,,,,Rein
Runcoda,,,,,,Brixen
Ruremunden.,,,,,,Roermund
Rustorf,,,,,,Rossdorf
Rutlingen,,,,,,Reutlingen
Rutten,,,,,,Ruette
Ruwenheim,,,,,,Raunheim
Ryet,,,,,,Ried
Ryneren,,,,,,Rhynern
Ryual,,,,,,Reval
Salina,,,,,,"Gross-salze, Hallein"
Salsz,,,,,,Selz
Samerde,,,,,,Sömmerda
de Sanctoamerino,,,,,,St. Amerin
de Sanctoarnuale,,,,,,St. Arnual
de Sanctoaudomaro,,,,,,St. Omer
de Sanctodaniele,,,,,,St. Daniel
de Sanctodeodato,,,,,,St. Dié
de Sanctodionisio,,,,,,"St. Denis, St. Dionysen"
de Sanctoermachore,,,,,,Hermagor
de Sanctofloriano,,,,,,St. Florian
Sanctogallo,,,,,,St. Gallen
de Sanctolamberto,,,,,,St. Lambert
de Sanctomichaele,,,,,,St. Michel
de Sancto Michaele,,,,,,St. Mihiel
de Sanctonabore,,,,,,St. Avold
Sarburgum,,,,,,Saarburg
Sarentina,,,,,,Sarnthein
Saresburgh,,,,,,Salzburg
Saue,,,,,,St. Rupert
Saxonia,,,,,,Sachsen
Scarphout,,,,,,Blankenberghe
Scherzheim,,,,,,Scherzheim
Scherlempach,,,,,,Sarleinsbach
Schudicz,,,,,,Schkeuditz
Schulpforta,,,,,,Pforta
Schwarzwald,,,,,,St. Blasien
Sconingen,,,,,,Schönigen
Seccow,,,,,,Sekkau
"Seck, Seckbach",,,,,,Sonsbeck
Sedunen.,,,,,,Sitten
"Sekingen, Selkinghen",,,,,,Säckingen
Senasburgh,,,,,,Sensburg
Sendomir,,,,,,Sandomirz
Senen.,,,,,,Siena
Seulden,,,,,,Seefelden
Sewn,,,,,,Seeon
Sgrauenraade,,,,,,Raede
Sibergen.,,,,,,Siegberg
Signen.,,,,,,Zengg
Silesia,,,,,,Schlesien
Siluaprigantina,,,,,,Schwarzenberg
Sinna,,,,,,Schienen
"Slesia, Slezia",,,,,,Schlesien
Sleswicen.,,,,,,Schleswig
Sletzstaden.,,,,,,Schlettstadt
Sliers,,,,,,Schliersee
Slose,,,,,,Schluchsee
Slucht,,,,,,Schlicht
Smedehusen,,,,,,Schmedehausen
Snaitsee,,,,,,Schnaitsee
Snerscheim,,,,,,Schnersheim
Sneytach,,,,,,Schnaittach
in Solio,,,,,,Maria Saal
Sora,,,,,,Saar
Spanheim,,,,,,Spohnheim
Stain,,,,,,Stein
Stain(a)kirchen,,,,,,Steinkirchen
Stalburg,,,,,,Stolberg
Stayn,,,,,,Stein
Steiermark,Stiria,,,,,Bruck
Stellasanctemarie,,,,,,Marienstern
Stenbeke,,,,,,Steimke
Steten.,,,,,,Stedten
Steynkerken,,,,,,Steenkerke
Sthainakirchen,,,,,,Steinkirchen
Strahouien.,,,,,,Prag
Sunbronnen,,,,,,Siebenbronn
Sunden.,,,,,,Stralsund
Sunderhofen,,,,,,Sonderhofen
Superior Berghe,,,,,,Oberberge
Superior-ingelnheim,,,,,,Ober-ingelnheim
Superiorlanstein,,,,,,Oberlahnstein
"Susacien., Suzacien.",,,,,,Soest
Suecia,,,,,,Schweden
Swabenhusen,,,,,,Schwabhausen
Swarczenberg,,,,,,Schwarzenberg
Swauestede,,,,,,Schwabstedt
Swartzach,,,,,,Schwarzach
Swartzpurg,,,,,,Schwarzburg
Swebriet,,,,,,Schwebenried
Swerin.,,,,,,Schwerin
Swidenicz,,,,,,Schweidnitz
Swolle,,,,,,Zwolle
Syberg.,,,,,,Siegberg
Sydonien.,,,,,,Sidon
Syernick,,,,,,Sierning
Syon,,,,,,Sion
Syprigehusen,,,,,,Sipperhausen
Syradia,,,,,,Sieradz
Taldorf,,,,,,Thaldorf
"Talkerchen, Talkirchen",,,,,,Bergheim
Tarbaten.,,,,,,Dorpat
Tassulum,,,,,,Nonsberg
Tengernheim,,,,,,Tegernheim
Tenwangen,,,,,,Dewang
Termopolen.,,,,,,Thermopyle
"Teuerstadt, Tewrstat",,,,,,Bamberg
Thekennenborch,,,,,,Tecklenburg
"Themswig, Thengwig",,,,,,Tamsweg
Thenuangen,,,,,,Dewang
Theonisuilla,,,,,,Diedenhofen
Therheynrixkinder,,,,,,S’heerhendrikskinder
